batching_method,num. seen alphabets in training,seen transform.,new transform.,alphabets
alphabet,100,0.931,0.1,seen
alphabet,100,0.925,0.09,seen
alphabet,100,0.997,0.112,seen
alphabet,100,0.93,0.107,seen
alphabet,100,0.961,0.119,seen
alphabet,140,1.0,0.215,seen
alphabet,140,0.998,0.126,seen
alphabet,140,0.819,0.053,seen
alphabet,140,0.997,0.099,seen
alphabet,140,0.907,0.06,seen
alphabet,200,1.0,0.271,seen
alphabet,200,0.789,0.039,seen
alphabet,200,1.0,0.215,seen
alphabet,200,1.0,0.105,seen
alphabet,200,0.999,0.158,seen
alphabet,20,0.898,0.095,seen
alphabet,20,0.912,0.109,seen
alphabet,20,0.894,0.096,seen
alphabet,20,0.903,0.103,seen
alphabet,20,0.901,0.099,seen
alphabet,400,0.809,0.04,seen
alphabet,400,0.988,0.067,seen
alphabet,400,1.0,0.069,seen
alphabet,400,0.716,0.03,seen
alphabet,400,0.999,0.058,seen
alphabet,40,0.949,0.119,seen
alphabet,40,0.889,0.109,seen
alphabet,40,0.951,0.134,seen
alphabet,40,0.951,0.12,seen
alphabet,40,0.92,0.112,seen
alphabet,60,0.936,0.085,seen
alphabet,60,0.943,0.119,seen
alphabet,60,0.94,0.106,seen
alphabet,60,0.949,0.105,seen
alphabet,60,0.999,0.176,seen
alphabet,80,0.947,0.111,seen
alphabet,80,0.946,0.101,seen
alphabet,80,0.946,0.091,seen
alphabet,80,0.948,0.103,seen
alphabet,80,0.946,0.095,seen
alphabet,100,0.7298457624423597,0.06844837531243991,new
alphabet,100,0.7088567339799651,0.05941165160546049,new
alphabet,100,0.8796311019239943,0.08113824264564506,new
alphabet,100,0.7516298298616633,0.07806191117092867,new
alphabet,100,0.7807282556845285,0.08459911555470102,new
alphabet,140,0.9807600572428049,0.1855412420688329,new
alphabet,140,0.9376689457783431,0.10805614304941358,new
alphabet,140,0.6198123708061695,0.04576043068640646,new
alphabet,140,0.9157258705676579,0.08094597192847529,new
alphabet,140,0.778979169979329,0.05229763507017881,new
alphabet,200,0.9987279376689457,0.2622572582195732,new
alphabet,200,0.6792812847829544,0.03653143626225726,new
alphabet,200,0.9996819844172364,0.1949625072101519,new
alphabet,200,0.9939577039274925,0.09805806575658527,new
alphabet,200,0.9984099220861822,0.14766391078638724,new
alphabet,20,0.3044999204961043,0.034993270524899055,new
alphabet,20,0.3401176657656225,0.043260911363199386,new
alphabet,20,0.3296231515344252,0.03518554124206883,new
alphabet,20,0.3280330736206074,0.036146894827917705,new
alphabet,20,0.3157894736842105,0.039030955585464336,new
alphabet,400,0.8158689775799014,0.04018457988848299,new
alphabet,400,0.9823501351566227,0.05787348586810229,new
alphabet,400,0.9996819844172364,0.06864064602960969,new
alphabet,400,0.711718874224837,0.036723706979427034,new
alphabet,400,0.9968198441723645,0.05768121515093251,new
alphabet,40,0.5269518206392113,0.06210344164583734,new
alphabet,40,0.45205915089839405,0.05768121515093251,new
alphabet,40,0.536492288122118,0.06767929244376082,new
alphabet,40,0.5568452854189855,0.062295712363007114,new
alphabet,40,0.4757513118142789,0.056719861565083636,new
alphabet,60,0.5670217840674193,0.053258988656027684,new
alphabet,60,0.6075687708697726,0.06691020957508172,new
alphabet,60,0.5725870567657815,0.06691020957508172,new
alphabet,60,0.6309429162028939,0.06133435877715824,new
alphabet,60,0.7880426140880903,0.10151893866564123,new
alphabet,80,0.7040865002385117,0.07133243606998654,new
alphabet,80,0.6778502146605183,0.06979427033262835,new
alphabet,80,0.6560661472412148,0.05825802730244184,new
alphabet,80,0.7118778820162188,0.07440876754470294,new
alphabet,80,0.6951820639211321,0.06517977312055374,new
