batching_method,num. seen alphabets in training,seen transform.,new transform.,alphabets
random,100,1.0,0.285,seen
random,100,0.996,0.12,seen
random,100,0.935,0.107,seen
random,100,0.999,0.153,seen
random,100,0.931,0.101,seen
random,140,0.913,0.061,seen
random,140,1.0,0.129,seen
random,140,0.832,0.05,seen
random,140,0.999,0.128,seen
random,140,0.918,0.073,seen
random,200,0.999,0.101,seen
random,200,0.897,0.073,seen
random,200,0.998,0.131,seen
random,200,0.992,0.108,seen
random,200,1.0,0.106,seen
random,20,0.9,0.099,seen
random,20,0.94,0.104,seen
random,20,0.921,0.104,seen
random,20,0.899,0.097,seen
random,20,0.902,0.1,seen
random,400,1.0,0.106,seen
random,400,0.992,0.071,seen
random,400,0.999,0.103,seen
random,400,0.817,0.025,seen
random,400,1.0,0.068,seen
random,40,0.918,0.099,seen
random,40,0.943,0.13,seen
random,40,0.949,0.119,seen
random,40,0.889,0.116,seen
random,40,0.934,0.113,seen
random,60,0.944,0.113,seen
random,60,0.946,0.128,seen
random,60,0.883,0.082,seen
random,60,0.949,0.115,seen
random,60,0.95,0.139,seen
random,80,0.951,0.103,seen
random,80,0.938,0.09,seen
random,80,0.945,0.092,seen
random,80,0.951,0.112,seen
random,80,0.948,0.098,seen
random,100,0.9691524884719351,0.25206691020957506,new
random,100,0.864843377325489,0.08690636416073833,new
random,100,0.7357290507234855,0.07210151893866563,new
random,100,0.9233582445539832,0.1186310324937512,new
random,100,0.7234854507870886,0.06671793885791194,new
random,140,0.7653044999204961,0.04729859642376466,new
random,140,0.9847352520273494,0.101711209382811,new
random,140,0.6186993162664971,0.04499134781772736,new
random,140,0.938463984735252,0.1024802922514901,new
random,140,0.7657815232946414,0.05518169582772544,new
random,200,0.9945937350930195,0.0963276293020573,new
random,200,0.7882016218794721,0.06421841953470486,new
random,200,0.9907775480998569,0.1278600269179004,new
random,200,0.9535697249165209,0.1032493751201692,new
random,200,0.9955477818413102,0.09998077292828303,new
random,20,0.36206074097630786,0.03864641415112478,new
random,20,0.3165845126411194,0.03999230917131321,new
random,20,0.3293051359516616,0.03999230917131321,new
random,20,0.3429798060104945,0.03826187271678523,new
random,20,0.35888058514867227,0.04114593347433186,new
random,400,0.9992049610430911,0.10863295520092289,new
random,400,0.9858483065670218,0.06960199961545857,new
random,400,0.9993639688344729,0.10882522591809267,new
random,400,0.8158689775799014,0.025379734666410306,new
random,400,0.9992049610430911,0.07306287252451452,new
random,40,0.4797265065988233,0.05710440299942319,new
random,40,0.51073302591827,0.06344933666602576,new
random,40,0.5124821116234696,0.06364160738319553,new
random,40,0.44474479249483223,0.05902711017112094,new
random,40,0.4932421688662744,0.059219380888290714,new
random,60,0.6210844331372237,0.06421841953470486,new
random,60,0.6411194148513277,0.07037108248413766,new
random,60,0.5000795038956909,0.052489905787348586,new
random,60,0.6234695500079503,0.07037108248413766,new
random,60,0.6214024487199873,0.07517785041338204,new
random,80,0.7023374145333121,0.06537204383772352,new
random,80,0.6422324693910002,0.059219380888290714,new
random,80,0.6789632692001908,0.06268025379734667,new
random,80,0.6823024328192081,0.06960199961545857,new
random,80,0.6552711082843059,0.06402614881753509,new
